timestamp_ms,open,high,low,close,volume,turnover
1789025820000,77964.7,77991.0,77962.7,77990.7,5.922418,461777.4488804
1789025880000,77990.7,77994.7,77977.8,77985.9,6.292761,490743.7194908
1789025940000,77985.9,77987.6,77950.1,77967.2,8.483921,661486.8487899
1789026000000,77967.2,77978.4,77952.4,77976.4,6.799182,530112.5462325
1789026060000,77976.4,77998.2,77962.5,77987.7,8.993276,701277.1761776
1789026120000,77987.7,77994.9,77974.2,77988.6,5.587565,435736.284482
1789026180000,77988.6,77997.5,77980.8,77997.4,4.691311,365858.5359496
1789026240000,77997.4,78017.7,77986.2,78017.7,11.223211,875423.6950915
1789026300000,78017.7,78043.8,78015.8,78042.7,7.793864,608155.2262022
1789026360000,78042.7,78059.8,78038.2,78038.2,5.837496,455622.3789784
1789026420000,78038.2,78060.3,78038.2,78060.3,3.125067,243893.4254271
1789026480000,78060.3,78061.7,78060.2,78061.7,3.09844,241868.0848594
1789026540000,78061.7,78067.5,78053.3,78065.7,5.305585,414172.9075587
1789026600000,78065.7,78084.5,78065.7,78084.5,6.109401,476989.5676921
1789026660000,78084.5,78095.9,78084.4,78092.0,4.482241,350023.2592839
1789026720000,78092.0,78146.4,78091.8,78137.5,8.040863,628210.3673064
1789026780000,78137.5,78159.4,78089.7,78101.3,9.403196,734640.3011726
1789026840000,78101.3,78127.1,78100.6,78127.1,5.070852,396074.1242055
1789026900000,78127.1,78133.9,78114.8,78114.8,5.004156,390949.072558
1789026960000,78114.8,78114.8,78084.3,78104.2,5.515472,430733.2119118
1789027020000,78104.2,78107.1,78076.6,78107.1,6.285772,490864.3499831
1789027080000,78107.1,78118.7,78106.0,78110.9,4.697589,366939.6477206
1789027140000,78110.9,78110.9,78100.9,78100.9,4.187854,327103.1720955
1789027200000,78100.9,78163.3,78084.8,78163.1,13.729903,1072862.3770907
1789027260000,78163.1,78163.2,78095.3,78096.9,9.077693,709321.8304752
1789027320000,78096.9,78153.7,78096.8,78131.8,12.673806,990179.493085
1789027380000,78131.8,78133.0,78104.9,78104.9,2.582479,201747.2158281
1789027440000,78104.9,78129.1,78104.8,78118.1,2.349764,183562.3242101
1789027500000,78118.1,78137.1,78116.0,78124.1,3.144238,245646.8092411
1789027560000,78124.1,78124.1,78102.8,78102.9,1.18115,92269.8300653
1789027620000,78102.9,78143.2,78101.2,78141.2,12.899924,1007747.9033001
1789027680000,78141.2,78164.5,78141.2,78157.3,2.798027,218667.4848013
1789027740000,78157.3,78157.3,78140.1,78140.1,1.010698,78988.1372942
1789027800000,78140.1,78143.7,78120.4,78143.6,1.854705,144907.1202427
